Cycle,PC,Instr,Stage,Op,Fct3,Rd,Rs1,Rs2,Imm,RegWrite,ALUSrc,MemRd,MemWr,WBSel,Branch,FwdA,FwdB
0,0x0000,0x00000000,---,0x00,0,0,0,0,0,False,False,False,False,0,False,,
1,0x0000,0x00052383,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0004,0x0043a403,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
2,0x0000,0x00052383,ID,0x03,2,7,10,0,0,True,True,True,False,1,False,,
3,0x0008,0x0083a483,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
3,0x0004,0x0043a403,ID,0x03,2,8,7,4,4,True,True,True,False,1,False,EX,
3,0x0000,0x00052383,EX,0x03,2,7,10,0,0,True,True,True,False,1,False,,
4,0x0008,0x0083a483,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
4,0x0004,0x0043a403,ID,0x03,2,8,7,4,4,True,True,True,False,1,False,EX,
4,0x0000,0x00052383,MEM,0x03,2,7,10,0,0,True,True,True,False,1,False,,
5,0x000c,0x00130513,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
5,0x0008,0x0083a483,ID,0x03,2,9,7,8,8,True,True,True,False,1,False,,
5,0x0004,0x0043a403,EX,0x03,2,8,7,4,4,True,True,True,False,1,False,EX,
6,0x0010,0x00140593,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
6,0x000c,0x00130513,ID,0x13,0,10,6,1,1,True,True,False,False,0,False,,
6,0x0008,0x0083a483,EX,0x03,2,9,7,8,8,True,True,True,False,1,False,,
6,0x0004,0x0043a403,MEM,0x03,2,8,7,4,4,True,True,True,False,1,False,EX,
7,0x0014,0x00148613,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
7,0x0010,0x00140593,ID,0x13,0,11,8,1,1,True,True,False,False,0,False,,
7,0x000c,0x00130513,EX,0x13,0,10,6,1,1,True,True,False,False,0,False,,
7,0x0008,0x0083a483,MEM,0x03,2,9,7,8,8,True,True,True,False,1,False,,
8,0x0018,0x0003a023,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
8,0x0014,0x00148613,ID,0x13,0,12,9,1,1,True,True,False,False,0,False,,
8,0x0010,0x00140593,EX,0x13,0,11,8,1,1,True,True,False,False,0,False,,
8,0x000c,0x00130513,MEM,0x13,0,10,6,1,1,True,True,False,False,0,False,,
9,0x001c,0x0003a223,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
9,0x0018,0x0003a023,ID,0x23,2,0,7,0,0,False,True,False,True,0,False,,
9,0x0014,0x00148613,EX,0x13,0,12,9,1,1,True,True,False,False,0,False,,
9,0x0010,0x00140593,MEM,0x13,0,11,8,1,1,True,True,False,False,0,False,,
10,0x0020,0x0003a423,IF,0x00,0,0,0,0,0,False,False,False,False,0,False,,
10,0x001c,0x0003a223,ID,0x23,2,4,7,0,4,False,True,False,True,0,False,,
10,0x0018,0x0003a023,EX,0x23,2,0,7,0,0,False,True,False,True,0,False,,
10,0x0014,0x00148613,MEM,0x13,0,12,9,1,1,True,True,False,False,0,False,,
11,0x0020,0x0003a423,ID,0x23,2,8,7,0,8,False,True,False,True,0,False,,
11,0x001c,0x0003a223,EX,0x23,2,4,7,0,4,False,True,False,True,0,False,,
11,0x0018,0x0003a023,MEM,0x23,2,0,7,0,0,False,True,False,True,0,False,,
12,0x0020,0x0003a423,EX,0x23,2,8,7,0,8,False,True,False,True,0,False,,
12,0x001c,0x0003a223,MEM,0x23,2,4,7,0,4,False,True,False,True,0,False,,
13,0x0020,0x0003a423,MEM,0x23,2,8,7,0,8,False,True,False,True,0,False,,
